ID,Japanese,English,Romaji
JS000001,これは何ですか。,What is this?,Kore wa nan desu ka?
JS000002,わかりません。,I don't know.,Wakarimasen.
JS000003,裏を見ます。,I'll look at the back.,Ura o mimasu.
JS000004,スイッチを押します。,I press the switch.,Suicchi o oshimasu.
JS000005,ハサミで紙を切ります。,I cut paper with scissors.,Hasami de kami o kirimasu.
JS000006,紙を切りました。,I cut the paper.,Kami o kirimashita.
JS000007,髪を切ります。,I cut hair.,Kami o kirimasu.
JS000008,紐を切ります。,I cut the string.,Himo o kirimasu.
JS000009,紐を結びます。,I tie the string.,Himo o musubimasu.
JS000010,見てください。,Please look.,Mite kudasai.
JS000011,ガムテープを切ります。,I cut the duct tape.,Gamu tēpu o kirimasu.
JS000012,テープが落ちました。,The tape fell.,Tēpu ga ochimashita.
JS000013,折り紙を折ります。,I fold the origami paper.,Origami o orimasu.
JS000014,三角に折りました。,I folded it into a triangle.,Sankaku ni orimashita.
JS000015,折り紙を切ります。,I cut the origami paper.,Origami o kirimasu.
JS000016,まっすぐ切ります。,I cut straight.,Massugu kirimasu.
JS000017,開けます。,I open it.,Akemasu.
JS000018,テープを丸めます。,I roll up the tape.,Tēpu o marumemasu.
JS000019,テープを貼ります。,I stick on the tape.,Tēpu o harimasu.
JS000020,椅子に貼りました。,I stuck it to the chair.,Isu ni harimashita.
